,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,geocode,latitude,longitude
14,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,"Phường Thanh Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76106, Việt Nam",10.947098928571428,106.81843384285715
15,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,"Phường Thanh Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, 76106, Việt Nam",10.947098928571428,106.81843384285715
16,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,"Fitchburg, Dane County, Wisconsin, 53711, United States",43.03043287750541,-89.44100732429705
17,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,"Fisciano, Salerno, Campania, 84084, Italia",40.77606307647059,14.783344682352942
18,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,"San Francisco, CAL Fire Northern Region, California, 94109, United States",37.79402334038461,-122.42041609647436
19,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,"San Francisco, CAL Fire Northern Region, California, 94109, United States",37.79402334038461,-122.42041609647436
20,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,"San Francisco, CAL Fire Northern Region, California, 94109, United States",37.79402334038461,-122.42041609647436
21,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68025, France",48.1153996,7.3558238
22,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68025, France",48.1153996,7.3558238
23,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
24,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,"Laurino, Salerno, Campania, 84057, Italia",40.30082,15.3618948
25,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,"瑞光里, 屏東市, 屏東縣, 90049, 臺灣",22.6640293,120.5030326
26,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,"瑞光里, 屏東市, 屏東縣, 90049, 臺灣",22.6640293,120.5030326
27,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
28,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
29,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
31,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
32,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
33,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
34,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,"Copperfield, Harris County, Texas, 77095, United States",29.898587775059102,-95.6512536679669
35,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,"Richardson, Dallas County, Texas, 75080, United States",32.96647382929653,-96.74084386553874
36,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,"Richardson, Dallas County, Texas, 75080, United States",32.96647382929653,-96.74084386553874
37,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
38,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
39,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
40,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
41,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,"Bornel, Beauvais, Oise, Hauts-de-France, France métropolitaine, 60540, France",49.206057435714285,2.2094040642857142
42,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,"瑞光里, 屏東市, 屏東縣, 90049, 臺灣",22.6640293,120.5030326
43,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,"Brevard County, Florida, 32935, United States",28.138249471122993,-80.6505079031016
44,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,"Gonsenheim, Mainz, Rheinland-Pfalz, 55122, Deutschland",50.004082364697275,8.232642940216437
45,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,"Gonsenheim, Mainz, Rheinland-Pfalz, 55122, Deutschland",50.004082364697275,8.232642940216437
46,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,"Šilainių seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 48185, Lietuva",54.92929567142858,23.875106642857144
47,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,"Dover, Kent County, Delaware, 19901, United States",39.15476452208481,-75.51884233939928
48,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,"Dover, Kent County, Delaware, 19901, United States",39.15476452208481,-75.51884233939928
49,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,"Vilijampolės seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 47150, Lietuva",54.9168444,23.8359121
50,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,"Vilijampolės seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 47150, Lietuva",54.9168444,23.8359121
51,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,"Vilijampolės seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 47150, Lietuva",54.9168444,23.8359121
52,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,"Vilijampolės seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 47150, Lietuva",54.9168444,23.8359121
53,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,"Manhattan, New York County, City of New York, New York, 10024, United States",40.786293471355805,-73.97560436394984
54,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,"Manhattan, New York County, City of New York, New York, 10024, United States",40.786293471355805,-73.97560436394984
55,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
56,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
57,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
58,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
59,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
60,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
61,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,"Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12180, Indonesia",-6.23291243,106.80164191
62,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,90004,34.073026752459015,-118.30155263934427
63,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,90004,34.073026752459015,-118.30155263934427
64,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,90004,34.073026752459015,-118.30155263934427
65,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,90004,34.073026752459015,-118.30155263934427
66,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
67,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,"Gilbert, Maricopa County, Arizona, 85234, United States",33.36860538851282,-111.73249336663248
68,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,"Gilbert, Maricopa County, Arizona, 85234, United States",33.36860538851282,-111.73249336663248
69,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,"Fairfax County, Virginia, 22153, United States",38.74788077221978,-77.24018326575823
70,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
71,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,"Eigulių seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 49201, Lietuva",54.93028653333334,23.956753933333335
72,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,"Memphis, Shelby County, West Tennessee, Tennessee, 38109, United States",35.077135500031325,-90.06961974442356
73,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,"Memphis, Shelby County, West Tennessee, Tennessee, 38109, United States",35.077135500031325,-90.06961974442356
74,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,"Memphis, Shelby County, West Tennessee, Tennessee, 38109, United States",35.077135500031325,-90.06961974442356
75,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
76,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
77,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
78,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,"Harris County, Texas, 77070, United States",29.974805855121954,-95.57532953670732
79,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,"Decatur, Morgan County, Alabama, 35601, United States",34.592946157719474,-86.9899829160444
80,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,"Decatur, Morgan County, Alabama, 35601, United States",34.592946157719474,-86.9899829160444
81,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
82,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
83,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,"Durham, Durham County, North Carolina, 27707, United States",35.959060535976626,-78.93870703268995
84,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,"South Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.851398875,-87.71629819951923
85,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,"Columbia, Richland County, South Carolina, 29203, United States",34.06417123788209,-81.02456251004367
86,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,"Rochester, Olmsted County, Minnesota, 55901, United States",44.05828395026492,-92.50142768275742
87,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,"Rochester, Olmsted County, Minnesota, 55901, United States",44.05828395026492,-92.50142768275742
88,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,"Copperfield, Harris County, Texas, 77095, United States",29.898587775059102,-95.6512536679669
89,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.633,"Misilmeri, Palermo, Sicilia, 90036, Italia",38.03382274444444,13.455525122222221
90,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,"Misilmeri, Palermo, Sicilia, 90036, Italia",38.03382274444444,13.455525122222221
91,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,"Misilmeri, Palermo, Sicilia, 90036, Italia",38.03382274444444,13.455525122222221
92,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,"Minneapolis, Hennepin County, Minnesota, 55407, United States",44.93833024083435,-93.25306743543362
93,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,"Minneapolis, Hennepin County, Minnesota, 55407, United States",44.93833024083435,-93.25306743543362
94,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,"Minneapolis, Hennepin County, Minnesota, 55407, United States",44.93833024083435,-93.25306743543362
95,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788,"Mount Scott-Arleta, Portland, Multnomah County, Oregon, 97206, United States",45.48330953363532,-122.5991700976423
96,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
97,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
98,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,"Dayton's Bluff, Saint Paul, Ramsey County, Minnesota, 55106, United States",44.961461747746476,-93.05520790873238
99,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
100,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
101,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
102,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,"Rochester, Olmsted County, Minnesota, 55901, United States",44.05828395026492,-92.50142768275742
103,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,"Aurora, Adams County, Colorado, 80013, United States",39.646220206962575,-104.76920632854656
104,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,"Aurora, Adams County, Colorado, 80013, United States",39.646220206962575,-104.76920632854656
105,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,"Aurora, Adams County, Colorado, 80013, United States",39.646220206962575,-104.76920632854656
106,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,"Östliche Vorstadt, Stadtbezirk Bremen-Ost, Bremen, 28205, Deutschland",53.07082009795859,8.845049190842811
107,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994,"Östliche Vorstadt, Stadtbezirk Bremen-Ost, Bremen, 28205, Deutschland",53.07082009795859,8.845049190842811
108,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,"Östliche Vorstadt, Stadtbezirk Bremen-Ost, Bremen, 28205, Deutschland",53.07082009795859,8.845049190842811
109,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,"Orland Park, Orland Township, Cook County, Illinois, 60462, United States",41.62350970012658,-87.83426046164557
110,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
111,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,"Dainavos seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 50322, Lietuva",54.92866965,23.99537815
112,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,"Dainavos seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 50322, Lietuva",54.92866965,23.99537815
113,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
114,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
115,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
116,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
117,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,"Seattle, King County, Washington, 98103, United States",47.67368278583285,-122.34397993760302
118,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,"장량동, 북구, 포항시, 경상북도, 37620, 대한민국",36.06440282096774,129.3787491967742
119,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,"Elsmere, New Castle County, Delaware, 19805, United States",39.74279575405405,-75.58643861065183
120,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,"Elsmere, New Castle County, Delaware, 19805, United States",39.74279575405405,-75.58643861065183
121,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,"Elsmere, New Castle County, Delaware, 19805, United States",39.74279575405405,-75.58643861065183
122,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,"Elsmere, New Castle County, Delaware, 19805, United States",39.74279575405405,-75.58643861065183
123,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,"Elsmere, New Castle County, Delaware, 19805, United States",39.74279575405405,-75.58643861065183
124,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
125,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,"남구, 광주, 61701, 대한민국",35.1237992,126.9061698
126,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,"Forenza, Potenza, Basilicata, 85023, Italia",40.85873123506494,15.855689835064936
127,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499,"Forenza, Potenza, Basilicata, 85023, Italia",40.85873123506494,15.855689835064936
128,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602,90004,34.073026752459015,-118.30155263934427
129,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,90004,34.073026752459015,-118.30155263934427
130,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
131,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
132,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
133,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,"Roseville, Placer County, California, 95661, United States",38.7400433,-121.25689872982457
